article,efo,count,dbName,dbId
PMC4157029,"urinary system",1,,EFO_0000803
PMC4157029,"reproductive system",1,,EFO_0000809
PMC4157029,"postnatal",1,,EFO_0002948
PMC4157029,"exposure",1,,EFO_0000487
PMC4157029,"dose",1,,EFO_0000428
PMC4157029,"fast",1,,EFO_0002756
PMC4157029,"acid",1,,EFO_0004416
PMC4157029,"Chinese",1,,EFO_0003157
PMC4161876,"genome",11,,EFO_0004420
PMC4161876,"Ventral",10,,EFO_0001662
PMC4161876,"transfection",10,,EFO_0000726
PMC4161876,"adult",6,,EFO_0001272
PMC4161876,"disease",5,,EFO_0000408
PMC4161876,"hippocampus",5,,EFO_0000530
PMC4161876,"transcriptome",4,,EFO_0004421
PMC4161876,"labeling",3,,EFO_0000562
PMC4161876,"bulb",3,,EFO_0001048
PMC4161876,"filament",2,,EFO_0005102
PMC4161876,"bone",2,,EFO_0000298
PMC4161876,"weight",2,,EFO_0004338
PMC4161876,"neonate",2,,EFO_0001372
PMC4161876,"measurement",2,,EFO_0001444
PMC4161876,"microarray",2,,EFO_0002698
PMC4161876,"temperature",2,,EFO_0001702
PMC4161876,"female",2,,EFO_0001265
PMC4161876,"software",2,,EFO_0002029
PMC4161876,"transgenic",1,,EFO_0004020
PMC4161876,"intervention",1,,EFO_0002571
PMC4161876,"fast",1,,EFO_0002756
PMC4161876,"muscle",1,,EFO_0001949
PMC4161876,"seed",1,,EFO_0000991
PMC4161876,"phenotypes",1,,EFO_0000651
PMC4161876,"European",1,,EFO_0003156
PMC4161876,"random",1,,EFO_0004189
PMC4161876,"replicates",1,,EFO_0000683
PMC4161876,"acid",1,,EFO_0004416
PMC4161876,"washing",1,,EFO_0000735
PMC4202545,"Seed",19,,EFO_0000991
PMC4202545,"mg/kg",19,,EFO_0002902
PMC4202545,"doses",15,,EFO_0000428
PMC4202545,"saline",11,,EFO_0002677
PMC4202545,"mortality",9,,EFO_0004352
PMC4202545,"Male",5,,EFO_0001266
PMC4202545,"Adult",2,,EFO_0001272
PMC4202545,"procedures",2,,EFO_0002571
PMC4202545,"temperature",2,,EFO_0001702
PMC4202545,"insomnia",1,,EFO_0004698
PMC4202545,"cages",1,,EFO_0004181
PMC4202545,"survival",1,,EFO_0000714
PMC4202545,"acid",1,,EFO_0004416
PMC4204956,"strains",9,,EFO_0005135
PMC4204956,"pathogens",8,,EFO_0000643
PMC4204956,"Sampling sites",2,,EFO_0000688
PMC4204956,"Measurement",2,,EFO_0001444
PMC4204956,"temperature",2,,EFO_0001702
PMC4204956,"random",1,,EFO_0004189
PMC4204956,"fruits",1,,EFO_0001028
PMC4204956,"exposure",1,,EFO_0000487
PMC4204956,"sterile",1,,EFO_0000545
PMC4204956,"media",1,,EFO_0000579
PMC4204956,"replicates",1,,EFO_0000683
PMC4204956,"diseases",1,,EFO_0000408
PMC4204956,"hand",1,,EFO_0000877
PMC4206695,"insertion",14,,EFO_0004016
PMC4206695,"substrates",10,,EFO_0005061
PMC4206695,"inversion",1,,EFO_0004017
PMC4206695,"proximal",1,,EFO_0001661
PMC4206695,"procedure",1,,EFO_0002571
PMC4209970,"sensillum",4,,EFO_0000939
PMC4209970,"duration",4,,EFO_0000433
PMC4209970,"data file",4,,EFO_0004095
PMC4209970,"shoots",3,,EFO_0000992
PMC4209970,"dose",3,,EFO_0000428
